index,canonical_name,mode,status,filename,size_bytes,source_url,source_page,note
130,"Sticker ""Sandstone""",ADD_NEW,OK_DISCOVERED,sticker_sandstone.webp,33374,https://ggstand.com/public/storage/items/16884757106868704e119e5ed535d2be7573492677.png,https://ggstand.com/en/case/sandstone,source=WEBP; alpha=86.1328%
131,"Sting ""Arcane Surge""",ADD_NEW,OK_KNOWN_OVERRIDE+DISCOVERED,sting_arcane_surge.webp,22032,https://skins4fps.com/images/standoff/sting-arcane-surge.png,https://ggstand.io/ru/case/arcane-surge-50-on-50,source=PNG; alpha=89.5164%
132,"TEC-9 ""Fable""",ADD_NEW,OK_DISCOVERED,tec_9_fable.webp,27034,https://ggstand.io/public/storage/items/1688133134617f7a22866ee64ab0064a6010ba243a.png,https://ggstand.io/ru/case/tec9,source=WEBP; alpha=87.8792%
133,"TEC-9 ""Restless""",ADD_NEW,OK_DISCOVERED,tec_9_restless.webp,25476,https://ggstand.io/public/storage/items/16897361827dc81f522d9a98e4034ad0227c7fe153.png,https://ggstand.io/ru/case/tec9,source=WEBP; alpha=92.2371%
134,"TEC-9 ""Splash""",ADD_NEW,OK_DISCOVERED,tec_9_splash.webp,21142,https://ggstand.io/public/storage/items/168969305582bdff84db2fc363aadcccbcd00cf78c.png,https://ggstand.io/ru/case/tec9,source=WEBP; alpha=91.7458%
135,"TEC-9 ""Splinter Storm""",ADD_NEW,OK_DISCOVERED,tec_9_splinter_storm.webp,21434,https://ggstand.io/public/storage/items/168813314185e541fadad1008d5356c2f5317d1d30.png,https://ggstand.io/ru/case/tec9,source=WEBP; alpha=90.0917%
136,"TEC-9 ""Tropic""",REPLACE_EXISTING,SKIPPED_VALID,tec_9_tropic.webp,34948,,,alpha=88.2965%
137,"UMP45 ""Cyberpunk""",ADD_NEW,OK_DISCOVERED,ump45_cyberpunk.webp,38586,https://ggstand.com/public/storage/items/1688133511ff311ea508b42c75f0db45b871437eea.png,https://ggstand.com/en/case/epic,source=WEBP; alpha=85.6232%
138,"UMP45 ""Leviathan""",ADD_NEW,OK_DISCOVERED,ump45_leviathan.webp,18364,https://ggstand.com/public/storage/items/17616599748e30151b8b23a200c89f0ba3fe3a9544.png,https://ggstand.com/en/case/dia-de-muertos-st-collection,source=WEBP; alpha=81.1783%
139,"UMP45 ""Luminous""",ADD_NEW,OK_DISCOVERED,ump45_luminous.webp,45240,https://ggstand.com/public/storage/items/1688507818426a26da0c7d1cd469926620a31f1a4c.png,https://ggstand.com/en/case/legendary,source=WEBP; alpha=88.7512%
140,"USP ""2 Years""",REPLACE_EXISTING,SKIPPED_VALID,usp_2_years.webp,43410,,,alpha=79.1725%
141,"USP ""Corrode""",ADD_NEW,OK_DISCOVERED,usp_corrode.webp,28932,https://ggstand.com/public/storage/items/17104344898b411c3b6945755bd09a4aace6481017.png,https://ggstand.com/en/case/rare,source=WEBP; alpha=90.8051%
142,"USP ""Digital Burst""",REPLACE_EXISTING,SKIPPED_VALID,usp_digital_burst.webp,31186,,,alpha=88.1310%
143,"USP ""Griffin""",ADD_NEW,OK_DISCOVERED,usp_griffin.webp,32074,https://ggstand.com/public/storage/items/16884066886e93f7aadaee99ba4f6d236ae1cdda97.png,https://ggstand.com/en/case/rare,source=WEBP; alpha=86.9804%
144,"USP ""Stone Cold""",REPLACE_EXISTING,SKIPPED_VALID,usp_stone_cold.webp,26616,,,alpha=86.8660%
145,"USP ""Warden""",ADD_NEW,UNRESOLVED,,0,,,No exact weapon+skin image URL found for target USP | Warden
146,"VAL ""Rosa Mortal""",ADD_NEW,OK_DISCOVERED,val_rosa_mortal.webp,16102,https://ggstand.com/public/storage/items/176165982289e8453f2f2f581ffe754ce1022fd1fd.png,https://ggstand.com/en/case/dia-de-muertos-st-collection,source=WEBP; alpha=84.8244%
147,"Akimbo Uzi ""Howling Ghost""",ADD_NEW,OK_DISCOVERED,akimbo_uzi_howling_ghost.webp,20342,https://ggstand.com/public/storage/items/1761659536408cf56be0c1f65e4a6d657fbb63bcf0.png,https://ggstand.com/en/case/dia-de-muertos-st-collection,source=WEBP; alpha=81.3728%
148,"Akimbo Uzi ""No Escape""",ADD_NEW,UNRESOLVED,,0,,,No exact weapon+skin image URL found for target Akimbo Uzi | No Escape
149,"Akimbo Uzi ""Overdrive Red""",ADD_NEW,OK_DISCOVERED,akimbo_uzi_overdrive_red.webp,21408,https://ggstand.com/public/storage/items/174282821592ee354df17ee2bbea241a4107adeb1e.png,https://ggstand.com/en/case/arcane,source=WEBP; alpha=81.4171%
150,"Akimbo Uzi ""Spray""",ADD_NEW,OK_DISCOVERED,akimbo_uzi_spray.webp,29366,https://ggstand.com/public/storage/items/1742826127c750d3b99bbbe5094221219c07280738.png,https://ggstand.com/en/case/epic,source=WEBP; alpha=81.3927%
151,"AKR12 ""4 Years""",ADD_NEW,OK_DISCOVERED,akr12_4_years.webp,37570,https://ggstand.com/public/storage/items/1688078603bfaf080b4b140aae5334860d897e08c7.png,https://ggstand.com/en/case/akr12,source=WEBP; alpha=85.6422%
152,"AKR12 ""Armored""",ADD_NEW,OK_DISCOVERED,akr12_armored.webp,32740,https://ggstand.com/public/storage/items/16880792886f4d2eb6b9a3e7d06d47d4128869aa16.png,https://ggstand.com/en/case/akr12,source=WEBP; alpha=85.9268%
153,"AKR12 ""Ashbringer""",ADD_NEW,OK_DISCOVERED,akr12_ashbringer.webp,43600,https://ggstand.com/public/storage/items/1688405340e9b3948ca72969d90d081ad632f36dc4.png,https://ggstand.com/en/case/akr12,source=WEBP; alpha=83.4328%
154,"AKR12 ""Carbon""",ADD_NEW,OK_DISCOVERED,akr12_carbon.webp,37362,https://ggstand.com/public/storage/items/1688079327ca917ee4877cff1328019073fd72a04b.png,https://ggstand.com/en/case/akr12,source=WEBP; alpha=82.8972%
155,"AKR12 ""Carving""",ADD_NEW,OK_DISCOVERED,akr12_carving.webp,28674,https://ggstand.com/public/storage/items/168969228809301fd2b81bb233993b03f343d580af.png,https://ggstand.com/en/case/akr12,source=WEBP; alpha=90.3946%
